application_type,usia,masa_kerja,golongan_jabatan,status_kepegawaian,gaji_bulanan,jumlah_tanggungan,riwayat_kredit,keputusan_kredit,omzet_usaha,lama_usaha,sektor_ekonomi,lokasi_usaha,riwayat_pinjaman,jenis_penggunaan_kredit,jenis_jaminan,sumber_dana_pengembalian,plafond_pengajuan,jangka_waktu_kredit,collateral_details
Pegawai,49.0,22.0,Staf Senior,Tetap,6163847.01,0.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Tidak Ada,Pendapatan Lain,108654045.51,67,
Pegawai,46.0,17.0,Staf Senior,Outsource,9262246.54,3.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Persediaan,Bonus,342732673.19,18,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""nulla""}"
Pegawai,56.0,16.0,Supervisor,Tetap,13341792.8,0.0,Pernah Macet,Pertimbangkan,,,,,,Pendidikan,Emas,Bonus,297790911.68,66,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""accusantium""}"
UMKM/Pengusaha,,,,,,,,Layak,140247287.78,8.0,Perdagangan,Pusat Kota,Tidak Ada,Konsumsi,Persediaan,Tambahan Modal,426963959.28,30,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""vero""}"
UMKM/Pengusaha,,,,,,,,Layak,37607935.8,8.0,IT,Online,Tidak Ada,Modal Kerja,Deposito,Usaha Sendiri,354800453.08,45,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ea""}"
Pegawai,60.0,32.0,Staf Pelaksana,Kontrak,13774106.68,4.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Emas,Bonus,231339894.95,69,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""qui""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,92610790.54,15.0,Perdagangan,Pusat Kota,Pernah Macet,Investasi,Tanah/Bangunan,Tambahan Modal,255619403.08,13,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""occaecati""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,6964217.92,13.0,Perdagangan,Sleman,Ada,Investasi,Tidak Ada,Tambahan Modal,157073201.13,8,
Pegawai,38.0,3.0,Administrasi,Kontrak,23699133.42,4.0,Pernah Macet,Tidak Layak,,,,,,Lain-lain,Emas,Bonus,471750924.18,68,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""eius""}"
UMKM/Pengusaha,,,,,,,,Layak,113102947.08,13.0,Manufaktur,Pinggir Kota,Ada,Modal Kerja,Persediaan,Lain-lain,217154416.14,71,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""saepe""}"
UMKM/Pengusaha,,,,,,,,Layak,68039045.16,9.0,Pertanian,Yogyakarta Kota,Ada,Investasi,Deposito,Usaha Sendiri,117668670.49,67,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""unde""}"
UMKM/Pengusaha,,,,,,,,Layak,12808975.96,10.0,Kuliner,Pinggir Kota,Tidak Ada,Investasi,Deposito,Lain-lain,287964493.2,12,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""amet""}"
Pegawai,20.0,31.0,Supervisor,Tetap,20228404.95,4.0,Ada,Pertimbangkan,,,,,,Pendidikan,Persediaan,Bonus,410256700.8,52,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""distinctio""}"
Pegawai,48.0,11.0,Staf Senior,Tetap,15999548.83,5.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Tidak Ada,Pendapatan Lain,296254535.61,9,
UMKM/Pengusaha,,,,,,,,Layak,139236577.07,15.0,Perdagangan,Pedesaan,Ada,Modal Kerja,Kendaraan,Penjualan Aset,225985919.99,10,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2003, ""atas_nama_kendaraan"": ""Sakura Puspasari"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,190347902.05,12.0,Transportasi,Pinggir Kota,Tidak Ada,Investasi,Persediaan,Lain-lain,391248238.52,72,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""debitis""}"
Pegawai,45.0,30.0,Staf Pelaksana,Outsource,13626119.77,1.0,Tidak Ada,Layak,,,,,,Renovasi Rumah,Tanah/Bangunan,Pendapatan Lain,320447645.45,32,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""ad""}"
Pegawai,40.0,27.0,Staf Senior,Kontrak,11466476.26,5.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Deposito,Pendapatan Lain,453744315.23,69,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""in""}"
Pegawai,34.0,7.0,Staf Pelaksana,Tetap,24928166.99,3.0,Tidak Ada,Layak,,,,,,Konsumsi,Tidak Ada,Bonus,301111848.73,15,
UMKM/Pengusaha,,,,,,,,Layak,77844041.19,14.0,Kuliner,Sleman,Pernah Macet,Investasi,Tanah/Bangunan,Usaha Sendiri,47692590.52,71,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""blanditiis""}"
UMKM/Pengusaha,,,,,,,,Layak,152012595.31,11.0,IT,Pinggir Kota,Ada,Modal Kerja,Emas,Tambahan Modal,255323455.78,37,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""qui""}"
Pegawai,21.0,34.0,Staf Pelaksana,Kontrak,13099831.84,0.0,Pernah Macet,Layak,,,,,,,Kendaraan,,48711289.43,13,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2016, ""atas_nama_kendaraan"": ""drg. Caturangga Wahyuni"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,142831779.16,6.0,Lainnya,Sleman,Tidak Ada,Investasi,Persediaan,Penjualan Aset,312251332.21,49,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""maxime""}"
Pegawai,26.0,26.0,Supervisor,Outsource,8722236.99,1.0,Ada,Layak,,,,,,,Tanah/Bangunan,,188461752.04,49,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quia""}"
UMKM/Pengusaha,,,,,,,,Layak,76157172.0,7.0,IT,Bantul,Tidak Ada,Investasi,Deposito,Tambahan Modal,454553438.65,40,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""consequatur""}"
Pegawai,50.0,17.0,Administrasi,Kontrak,22021830.83,1.0,Pernah Macet,Layak,,,,,,Renovasi Rumah,Persediaan,Bonus,106006615.22,10,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""porro""}"
Pegawai,48.0,25.0,Administrasi,Tetap,15430961.33,3.0,Tidak Ada,Layak,,,,,,Pembelian Kendaraan,Deposito,Lain-lain,127440983.65,42,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""aperiam""}"
